//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 1,
QuestionText,Qué es Front-end?,
Points,1,
Difficulty,1,
Image,,
Option,0,El servidor que maneja los datos de la aplicación
Option,100,Aquello que el usuario ve y manipula
Option,0,La base de datos de la aplicación
Option,0,El código que se ejecuta en el servidor
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 2,
QuestionText,Cuál es la diferencia principal entre una librería y un framework?,
Points,1,
Difficulty,1,
Image,,
Option,0,"No hay diferencia, son lo mismo"
Option,0,"Una librería incluye todo lo necesario, un framework solo herramientas específicas"
Option,100,"Una librería solo proporciona herramientas específicas, un framework incluye todo"
Option,0,Una librería es más grande que un framework
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 3,
QuestionText,React es una librería o un framework?,
Points,1,
Difficulty,1,
Image,,
Option,0,"Framework, porque incluye routing y estado global"
Option,100,"Librería, porque solo maneja la UI"
Option,0,"Framework, porque es muy completo"
Option,0,"Librería, porque es pequeño"
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 4,
QuestionText,Qué elemento HTML NO es semántico?,
Points,1,
Difficulty,1,
Image,,
Option,0,<header>
Option,0,<nav>
Option,100,<div>
Option,0,<article>
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 5,
QuestionText,Por qué es importante usar HTML semántico?,
Points,1,
Difficulty,1,
Image,,
Option,0,Solo para hacer el código más bonito
Option,100,"Para mejorar la accesibilidad, SEO y mantenibilidad del código"
Option,0,Para que la página cargue más rápido
Option,0,"No es importante, es solo una preferencia de estilo"
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 6,
QuestionText,Para qué sirve el elemento <label> en formularios?,
Points,1,
Difficulty,1,
Image,,
Option,0,Para crear etiquetas visuales
